Year,Region,Postcode,Data Item,Sum of Value
2015,Parkes (ACT),2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Construction (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Currently unknown (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Education and training (no.),0
2015,Parkes (ACT),2600,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Financial and insurance services (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Health care and social assistance (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Manufacturing (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Mining (no.),0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Other services (no.),0
2015,Parkes (ACT),2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Parkes (ACT),2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Retail trade (no.),3
2015,Parkes (ACT),2600,Number of Businesses by Industry - Total (no.),8
2015,Parkes (ACT),2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",0
2015,Parkes (ACT),2600,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Pearce,2607,Number of Businesses by Industry - Accommodation and food services (no.),6
2014,Pearce,2607,Number of Businesses by Industry - Administrative and support services (no.),5
2014,Pearce,2607,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",7
2014,Pearce,2607,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Pearce,2607,Number of Businesses by Industry - Construction (no.),34
2014,Pearce,2607,Number of Businesses by Industry - Currently unknown (no.),3
2014,Pearce,2607,Number of Businesses by Industry - Education and training (no.),5
2014,Pearce,2607,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Pearce,2607,Number of Businesses by Industry - Financial and insurance services (no.),11
2014,Pearce,2607,Number of Businesses by Industry - Health care and social assistance (no.),20
2014,Pearce,2607,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Pearce,2607,Number of Businesses by Industry - Manufacturing (no.),0
2014,Pearce,2607,Number of Businesses by Industry - Mining (no.),0
2014,Pearce,2607,Number of Businesses by Industry - Other services (no.),3
2014,Pearce,2607,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",38
2014,Pearce,2607,Number of Businesses by Industry - Public administration and safety (no.),3
2014,Pearce,2607,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",14
2014,Pearce,2607,Number of Businesses by Industry - Retail trade (no.),0
2014,Pearce,2607,Number of Businesses by Industry - Total (no.),166
2014,Pearce,2607,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",10
2014,Pearce,2607,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Pearce,2607,Number of Businesses by Industry - Accommodation and food services (no.),6
2015,Pearce,2607,Number of Businesses by Industry - Administrative and support services (no.),6
2015,Pearce,2607,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2015,Pearce,2607,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Pearce,2607,Number of Businesses by Industry - Construction (no.),30
2015,Pearce,2607,Number of Businesses by Industry - Currently unknown (no.),3
2015,Pearce,2607,Number of Businesses by Industry - Education and training (no.),3
2015,Pearce,2607,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Pearce,2607,Number of Businesses by Industry - Financial and insurance services (no.),9
2015,Pearce,2607,Number of Businesses by Industry - Health care and social assistance (no.),22
2015,Pearce,2607,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Pearce,2607,Number of Businesses by Industry - Manufacturing (no.),3
2015,Pearce,2607,Number of Businesses by Industry - Mining (no.),0
2015,Pearce,2607,Number of Businesses by Industry - Other services (no.),0
2015,Pearce,2607,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",39
2015,Pearce,2607,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Pearce,2607,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",17
2015,Pearce,2607,Number of Businesses by Industry - Retail trade (no.),3
2015,Pearce,2607,Number of Businesses by Industry - Total (no.),164
2015,Pearce,2607,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",10
2015,Pearce,2607,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Phillip,2606,Number of Businesses by Industry - Accommodation and food services (no.),52
2014,Phillip,2606,Number of Businesses by Industry - Administrative and support services (no.),20
2014,Phillip,2606,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Phillip,2606,Number of Businesses by Industry - Arts and recreation services (no.),10
2014,Phillip,2606,Number of Businesses by Industry - Construction (no.),30
2014,Phillip,2606,Number of Businesses by Industry - Currently unknown (no.),6
2014,Phillip,2606,Number of Businesses by Industry - Education and training (no.),10
2014,Phillip,2606,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Phillip,2606,Number of Businesses by Industry - Financial and insurance services (no.),53
2014,Phillip,2606,Number of Businesses by Industry - Health care and social assistance (no.),63
2014,Phillip,2606,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Phillip,2606,Number of Businesses by Industry - Manufacturing (no.),17
2014,Phillip,2606,Number of Businesses by Industry - Mining (no.),0
2014,Phillip,2606,Number of Businesses by Industry - Other services (no.),56
2014,Phillip,2606,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",73
2014,Phillip,2606,Number of Businesses by Industry - Public administration and safety (no.),4
2014,Phillip,2606,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",90
2014,Phillip,2606,Number of Businesses by Industry - Retail trade (no.),77
2014,Phillip,2606,Number of Businesses by Industry - Total (no.),587
2014,Phillip,2606,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",11
2014,Phillip,2606,Number of Businesses by Industry - Wholesale trade (no.),9
2015,Phillip,2606,Number of Businesses by Industry - Accommodation and food services (no.),50
2015,Phillip,2606,Number of Businesses by Industry - Administrative and support services (no.),16
2015,Phillip,2606,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Phillip,2606,Number of Businesses by Industry - Arts and recreation services (no.),10
2015,Phillip,2606,Number of Businesses by Industry - Construction (no.),27
2015,Phillip,2606,Number of Businesses by Industry - Currently unknown (no.),8
2015,Phillip,2606,Number of Businesses by Industry - Education and training (no.),9
2015,Phillip,2606,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Phillip,2606,Number of Businesses by Industry - Financial and insurance services (no.),57
2015,Phillip,2606,Number of Businesses by Industry - Health care and social assistance (no.),64
2015,Phillip,2606,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Phillip,2606,Number of Businesses by Industry - Manufacturing (no.),16
2015,Phillip,2606,Number of Businesses by Industry - Mining (no.),0
2015,Phillip,2606,Number of Businesses by Industry - Other services (no.),55
2015,Phillip,2606,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",77
2015,Phillip,2606,Number of Businesses by Industry - Public administration and safety (no.),6
2015,Phillip,2606,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",92
2015,Phillip,2606,Number of Businesses by Industry - Retail trade (no.),80
2015,Phillip,2606,Number of Businesses by Industry - Total (no.),593
2015,Phillip,2606,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",11
2015,Phillip,2606,Number of Businesses by Industry - Wholesale trade (no.),9
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Accommodation and food services (no.),18
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Administrative and support services (no.),5
2014,Red Hill (ACT),2603,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",4
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Construction (no.),26
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Currently unknown (no.),7
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Education and training (no.),6
2014,Red Hill (ACT),2603,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Financial and insurance services (no.),38
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Health care and social assistance (no.),36
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Manufacturing (no.),0
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Mining (no.),0
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Other services (no.),5
2014,Red Hill (ACT),2603,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",55
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Red Hill (ACT),2603,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",53
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Retail trade (no.),11
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Total (no.),278
2014,Red Hill (ACT),2603,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",6
2014,Red Hill (ACT),2603,Number of Businesses by Industry - Wholesale trade (no.),5
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Accommodation and food services (no.),16
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Administrative and support services (no.),6
2015,Red Hill (ACT),2603,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",4
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Construction (no.),26
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Currently unknown (no.),8
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Education and training (no.),6
2015,Red Hill (ACT),2603,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Financial and insurance services (no.),44
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Health care and social assistance (no.),40
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Manufacturing (no.),3
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Mining (no.),0
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Other services (no.),10
2015,Red Hill (ACT),2603,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",57
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Red Hill (ACT),2603,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",49
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Retail trade (no.),9
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Total (no.),292
2015,Red Hill (ACT),2603,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",7
2015,Red Hill (ACT),2603,Number of Businesses by Industry - Wholesale trade (no.),4
2014,Reid,2612,Number of Businesses by Industry - Accommodation and food services (no.),0
2014,Reid,2612,Number of Businesses by Industry - Administrative and support services (no.),3
2014,Reid,2612,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2014,Reid,2612,Number of Businesses by Industry - Arts and recreation services (no.),7
2014,Reid,2612,Number of Businesses by Industry - Construction (no.),3
2014,Reid,2612,Number of Businesses by Industry - Currently unknown (no.),0
2014,Reid,2612,Number of Businesses by Industry - Education and training (no.),3
2014,Reid,2612,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Reid,2612,Number of Businesses by Industry - Financial and insurance services (no.),8
2014,Reid,2612,Number of Businesses by Industry - Health care and social assistance (no.),7
2014,Reid,2612,Number of Businesses by Industry - Information media and telecommunications (no.),0
2014,Reid,2612,Number of Businesses by Industry - Manufacturing (no.),3
2014,Reid,2612,Number of Businesses by Industry - Mining (no.),0
2014,Reid,2612,Number of Businesses by Industry - Other services (no.),0
2014,Reid,2612,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",25
2014,Reid,2612,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Reid,2612,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",13
2014,Reid,2612,Number of Businesses by Industry - Retail trade (no.),3
2014,Reid,2612,Number of Businesses by Industry - Total (no.),78
2014,Reid,2612,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",3
2014,Reid,2612,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Reid,2612,Number of Businesses by Industry - Accommodation and food services (no.),0
2015,Reid,2612,Number of Businesses by Industry - Administrative and support services (no.),3
2015,Reid,2612,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Reid,2612,Number of Businesses by Industry - Arts and recreation services (no.),6
2015,Reid,2612,Number of Businesses by Industry - Construction (no.),6
2015,Reid,2612,Number of Businesses by Industry - Currently unknown (no.),0
2015,Reid,2612,Number of Businesses by Industry - Education and training (no.),3
2015,Reid,2612,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Reid,2612,Number of Businesses by Industry - Financial and insurance services (no.),8
2015,Reid,2612,Number of Businesses by Industry - Health care and social assistance (no.),8
2015,Reid,2612,Number of Businesses by Industry - Information media and telecommunications (no.),0
2015,Reid,2612,Number of Businesses by Industry - Manufacturing (no.),0
2015,Reid,2612,Number of Businesses by Industry - Mining (no.),0
2015,Reid,2612,Number of Businesses by Industry - Other services (no.),0
2015,Reid,2612,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",24
2015,Reid,2612,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Reid,2612,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",13
2015,Reid,2612,Number of Businesses by Industry - Retail trade (no.),3
2015,Reid,2612,Number of Businesses by Industry - Total (no.),77
2015,Reid,2612,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",3
2015,Reid,2612,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Richardson,2905,Number of Businesses by Industry - Accommodation and food services (no.),5
2014,Richardson,2905,Number of Businesses by Industry - Administrative and support services (no.),5
2014,Richardson,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Richardson,2905,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Richardson,2905,Number of Businesses by Industry - Construction (no.),59
2014,Richardson,2905,Number of Businesses by Industry - Currently unknown (no.),3
2014,Richardson,2905,Number of Businesses by Industry - Education and training (no.),0
2014,Richardson,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Richardson,2905,Number of Businesses by Industry - Financial and insurance services (no.),3
2014,Richardson,2905,Number of Businesses by Industry - Health care and social assistance (no.),4
2014,Richardson,2905,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Richardson,2905,Number of Businesses by Industry - Manufacturing (no.),3
2014,Richardson,2905,Number of Businesses by Industry - Mining (no.),0
2014,Richardson,2905,Number of Businesses by Industry - Other services (no.),13
2014,Richardson,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",10
2014,Richardson,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Richardson,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",3
2014,Richardson,2905,Number of Businesses by Industry - Retail trade (no.),3
2014,Richardson,2905,Number of Businesses by Industry - Total (no.),130
2014,Richardson,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",13
2014,Richardson,2905,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Richardson,2905,Number of Businesses by Industry - Accommodation and food services (no.),4
2015,Richardson,2905,Number of Businesses by Industry - Administrative and support services (no.),3
2015,Richardson,2905,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Richardson,2905,Number of Businesses by Industry - Arts and recreation services (no.),0
2015,Richardson,2905,Number of Businesses by Industry - Construction (no.),65
2015,Richardson,2905,Number of Businesses by Industry - Currently unknown (no.),0
2015,Richardson,2905,Number of Businesses by Industry - Education and training (no.),0
2015,Richardson,2905,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Richardson,2905,Number of Businesses by Industry - Financial and insurance services (no.),4
2015,Richardson,2905,Number of Businesses by Industry - Health care and social assistance (no.),4
2015,Richardson,2905,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Richardson,2905,Number of Businesses by Industry - Manufacturing (no.),3
2015,Richardson,2905,Number of Businesses by Industry - Mining (no.),0
2015,Richardson,2905,Number of Businesses by Industry - Other services (no.),12
2015,Richardson,2905,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",11
2015,Richardson,2905,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Richardson,2905,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",3
2015,Richardson,2905,Number of Businesses by Industry - Retail trade (no.),3
2015,Richardson,2905,Number of Businesses by Industry - Total (no.),132
2015,Richardson,2905,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",11
2015,Richardson,2905,Number of Businesses by Industry - Wholesale trade (no.),3
2014,Rivett,2611,Number of Businesses by Industry - Accommodation and food services (no.),4
2014,Rivett,2611,Number of Businesses by Industry - Administrative and support services (no.),6
2014,Rivett,2611,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Rivett,2611,Number of Businesses by Industry - Arts and recreation services (no.),4
2014,Rivett,2611,Number of Businesses by Industry - Construction (no.),34
2014,Rivett,2611,Number of Businesses by Industry - Currently unknown (no.),3
2014,Rivett,2611,Number of Businesses by Industry - Education and training (no.),4
2014,Rivett,2611,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Rivett,2611,Number of Businesses by Industry - Financial and insurance services (no.),11
2014,Rivett,2611,Number of Businesses by Industry - Health care and social assistance (no.),6
2014,Rivett,2611,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Rivett,2611,Number of Businesses by Industry - Manufacturing (no.),3
2014,Rivett,2611,Number of Businesses by Industry - Mining (no.),0
2014,Rivett,2611,Number of Businesses by Industry - Other services (no.),6
2014,Rivett,2611,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",22
2014,Rivett,2611,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Rivett,2611,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2014,Rivett,2611,Number of Businesses by Industry - Retail trade (no.),8
2014,Rivett,2611,Number of Businesses by Industry - Total (no.),132
2014,Rivett,2611,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",7
2014,Rivett,2611,Number of Businesses by Industry - Wholesale trade (no.),0
2015,Rivett,2611,Number of Businesses by Industry - Accommodation and food services (no.),3
2015,Rivett,2611,Number of Businesses by Industry - Administrative and support services (no.),7
2015,Rivett,2611,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2015,Rivett,2611,Number of Businesses by Industry - Arts and recreation services (no.),4
2015,Rivett,2611,Number of Businesses by Industry - Construction (no.),32
2015,Rivett,2611,Number of Businesses by Industry - Currently unknown (no.),3
2015,Rivett,2611,Number of Businesses by Industry - Education and training (no.),4
2015,Rivett,2611,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Rivett,2611,Number of Businesses by Industry - Financial and insurance services (no.),12
2015,Rivett,2611,Number of Businesses by Industry - Health care and social assistance (no.),6
2015,Rivett,2611,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Rivett,2611,Number of Businesses by Industry - Manufacturing (no.),4
2015,Rivett,2611,Number of Businesses by Industry - Mining (no.),0
2015,Rivett,2611,Number of Businesses by Industry - Other services (no.),5
2015,Rivett,2611,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",23
2015,Rivett,2611,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Rivett,2611,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",8
2015,Rivett,2611,Number of Businesses by Industry - Retail trade (no.),7
2015,Rivett,2611,Number of Businesses by Industry - Total (no.),130
2015,Rivett,2611,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",6
2015,Rivett,2611,Number of Businesses by Industry - Wholesale trade (no.),0
2014,Scullin,2614,Number of Businesses by Industry - Accommodation and food services (no.),0
2014,Scullin,2614,Number of Businesses by Industry - Administrative and support services (no.),9
2014,Scullin,2614,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",3
2014,Scullin,2614,Number of Businesses by Industry - Arts and recreation services (no.),3
2014,Scullin,2614,Number of Businesses by Industry - Construction (no.),31
2014,Scullin,2614,Number of Businesses by Industry - Currently unknown (no.),0
2014,Scullin,2614,Number of Businesses by Industry - Education and training (no.),3
2014,Scullin,2614,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Scullin,2614,Number of Businesses by Industry - Financial and insurance services (no.),4
2014,Scullin,2614,Number of Businesses by Industry - Health care and social assistance (no.),5
2014,Scullin,2614,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Scullin,2614,Number of Businesses by Industry - Manufacturing (no.),3
2014,Scullin,2614,Number of Businesses by Industry - Mining (no.),0
2014,Scullin,2614,Number of Businesses by Industry - Other services (no.),4
2014,Scullin,2614,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",21
2014,Scullin,2614,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Scullin,2614,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",3
2014,Scullin,2614,Number of Businesses by Industry - Retail trade (no.),3
2014,Scullin,2614,Number of Businesses by Industry - Total (no.),111
2014,Scullin,2614,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",13
2014,Scullin,2614,Number of Businesses by Industry - Wholesale trade (no.),3
2015,Scullin,2614,Number of Businesses by Industry - Accommodation and food services (no.),0
2015,Scullin,2614,Number of Businesses by Industry - Administrative and support services (no.),6
2015,Scullin,2614,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",0
2015,Scullin,2614,Number of Businesses by Industry - Arts and recreation services (no.),3
2015,Scullin,2614,Number of Businesses by Industry - Construction (no.),20
2015,Scullin,2614,Number of Businesses by Industry - Currently unknown (no.),0
2015,Scullin,2614,Number of Businesses by Industry - Education and training (no.),3
2015,Scullin,2614,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2015,Scullin,2614,Number of Businesses by Industry - Financial and insurance services (no.),6
2015,Scullin,2614,Number of Businesses by Industry - Health care and social assistance (no.),5
2015,Scullin,2614,Number of Businesses by Industry - Information media and telecommunications (no.),3
2015,Scullin,2614,Number of Businesses by Industry - Manufacturing (no.),0
2015,Scullin,2614,Number of Businesses by Industry - Mining (no.),0
2015,Scullin,2614,Number of Businesses by Industry - Other services (no.),4
2015,Scullin,2614,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",21
2015,Scullin,2614,Number of Businesses by Industry - Public administration and safety (no.),0
2015,Scullin,2614,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",3
2015,Scullin,2614,Number of Businesses by Industry - Retail trade (no.),4
2015,Scullin,2614,Number of Businesses by Industry - Total (no.),90
2015,Scullin,2614,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",12
2015,Scullin,2614,Number of Businesses by Industry - Wholesale trade (no.),0
2014,South Canberra,2600,Number of Businesses by Industry - Accommodation and food services (no.),205
2014,South Canberra,2600,Number of Businesses by Industry - Administrative and support services (no.),129
2014,South Canberra,2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",75
2014,South Canberra,2600,Number of Businesses by Industry - Arts and recreation services (no.),44
2014,South Canberra,2600,Number of Businesses by Industry - Construction (no.),343
2014,South Canberra,2600,Number of Businesses by Industry - Currently unknown (no.),84
2014,South Canberra,2600,Number of Businesses by Industry - Education and training (no.),80
2014,South Canberra,2600,Number of Businesses by Industry - Financial and insurance services (no.),402
2014,South Canberra,2600,Number of Businesses by Industry - Health care and social assistance (no.),378
2014,South Canberra,2600,Number of Businesses by Industry - Information media and telecommunications (no.),43
2014,South Canberra,2600,Number of Businesses by Industry - Manufacturing (no.),48
2014,South Canberra,2600,Number of Businesses by Industry - Mining (no.),4
2014,South Canberra,2600,Number of Businesses by Industry - Other services (no.),79
2014,South Canberra,2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",812
2014,South Canberra,2600,Number of Businesses by Industry - Public administration and safety (no.),26
2014,South Canberra,2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",552
2014,South Canberra,2600,Number of Businesses by Industry - Retail trade (no.),155
2014,South Canberra,2600,Number of Businesses by Industry - Total (no.),3555
2014,South Canberra,2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",64
2014,South Canberra,2600,Number of Businesses by Industry - Wholesale trade (no.),32
2015,South Canberra,2600,Number of Businesses by Industry - Accommodation and food services (no.),187
2015,South Canberra,2600,Number of Businesses by Industry - Administrative and support services (no.),123
2015,South Canberra,2600,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",73
2015,South Canberra,2600,Number of Businesses by Industry - Arts and recreation services (no.),43
2015,South Canberra,2600,Number of Businesses by Industry - Construction (no.),334
2015,South Canberra,2600,Number of Businesses by Industry - Currently unknown (no.),88
2015,South Canberra,2600,Number of Businesses by Industry - Education and training (no.),77
2015,South Canberra,2600,Number of Businesses by Industry - Financial and insurance services (no.),441
2015,South Canberra,2600,Number of Businesses by Industry - Health care and social assistance (no.),385
2015,South Canberra,2600,Number of Businesses by Industry - Information media and telecommunications (no.),43
2015,South Canberra,2600,Number of Businesses by Industry - Manufacturing (no.),48
2015,South Canberra,2600,Number of Businesses by Industry - Mining (no.),3
2015,South Canberra,2600,Number of Businesses by Industry - Other services (no.),88
2015,South Canberra,2600,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",822
2015,South Canberra,2600,Number of Businesses by Industry - Public administration and safety (no.),23
2015,South Canberra,2600,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",560
2015,South Canberra,2600,Number of Businesses by Industry - Retail trade (no.),150
2015,South Canberra,2600,Number of Businesses by Industry - Total (no.),3584
2015,South Canberra,2600,"Number of Businesses by Industry - Transport, postal and warehousing (no.)",68
2015,South Canberra,2600,Number of Businesses by Industry - Wholesale trade (no.),28
2014,Spence,2615,Number of Businesses by Industry - Accommodation and food services (no.),8
2014,Spence,2615,Number of Businesses by Industry - Administrative and support services (no.),12
2014,Spence,2615,"Number of Businesses by Industry - Agriculture, forestry and fishing (no.)",6
2014,Spence,2615,Number of Businesses by Industry - Arts and recreation services (no.),0
2014,Spence,2615,Number of Businesses by Industry - Construction (no.),44
2014,Spence,2615,Number of Businesses by Industry - Currently unknown (no.),4
2014,Spence,2615,Number of Businesses by Industry - Education and training (no.),4
2014,Spence,2615,"Number of Businesses by Industry - Electricity, gas, water and waste services (no.)",0
2014,Spence,2615,Number of Businesses by Industry - Financial and insurance services (no.),0
2014,Spence,2615,Number of Businesses by Industry - Health care and social assistance (no.),3
2014,Spence,2615,Number of Businesses by Industry - Information media and telecommunications (no.),3
2014,Spence,2615,Number of Businesses by Industry - Manufacturing (no.),3
2014,Spence,2615,Number of Businesses by Industry - Mining (no.),0
2014,Spence,2615,Number of Businesses by Industry - Other services (no.),0
2014,Spence,2615,"Number of Businesses by Industry - Professional, scientific and technical services (no.)",14
2014,Spence,2615,Number of Businesses by Industry - Public administration and safety (no.),0
2014,Spence,2615,"Number of Businesses by Industry - Rental, hiring and real estate services (no.)",6
2014,Spence,2615,Number of Businesses by Industry - Retail trade (no.),6
2014,Spence,2615,Number of Businesses by Industry - Total (no.),120
